stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
RGCO,6/30/2019,3863902,5225344,90900126,5307038,84736935,44202610,13256420,177816330,-1460830,,23546484,1238345,9147678,-1460830,,45239493,31698604,1469807,40319785,244423038,16200262,8690501,84736935,159686103,14179376,,,82832,
CTIB,12/31/2019,7021580,13959499,2097267,10398700,1983344,,27624716,3577510,-5348812,,27524405,845098,118857,-5509596,,184840,-9992841,2068236,13898494,31321083,656753,,1983344,30194576,3587287,,,3464564,-856837
CTIB,9/30/2019,8522419,18345406,2132835,8134291,1703669,,28456837,4947036,-6034745,,28159412,126647,-1979958,-6195529,,214074,-8007958,1293899,13898494,32897091,244829,,3176845,30949876,3481838,,,3799322,-1229630
CTIB,6/30/2019,8678165,20519240,1693363,8884291,3132634,,31319522,5301031,-5753138,,29383038,178298,-2445421,-5913922,,257348,-6840594,1342896,13898494,35648308,1030369,,4605810,32200569,3461832,,,4533831,-1158071
CTIB,3/31/2019,8680004,20837907,1826863,10602710,5839560,,33681594,5707642,-5814471,,32211059,175442,521674,-5975255,,74364,-3745907,1419371,13898494,41384086,654646,,7312736,35206322,3135404,,,4425852,-1134972
DHF,3/31/2020,7242235,,83000000,14092785,188270495,266237938,14602345,,,,9569788,265757,,,,,-89211992,34092,277482487,280840283,1771405,,188270495,92569788,,,,,
DHF,12/31/2019,7242235,,83000000,14092785,188270495,266237938,14602345,,,,9569788,265757,,,,,-89211992,34092,277482487,280840283,1771405,,188270495,92569788,,,,,
DHF,9/30/2019,2396000,,112000000,7469663,243297475,349407494,8829926,,,,2939945,1244059,,,,,-34185012,81168,277482487,358237420,10169,,243297475,114939945,,,,,
DHF,6/30/2019,2396000,,112000000,7469663,243297475,349407494,8829926,,,,2939945,1244059,,,,,-34185012,81168,277482487,358237420,10169,,243297475,114939945,,,,,
GWW,3/31/2020,863000000,1615000000,3303000000,1613000000,1223000000,,4914000000,1357000000,-217000000,10000000,1500000000,1492000000,301000000,-7937000000,361000000,344000000,8500000000,67000000,55000000,7177000000,19000000,,1810000000,5147000000,1192000000,226000000,,21000000,220000000
GWW,12/31/2019,719000000,1655000000,1914000000,1425000000,1122000000,,3555000000,1623000000,-154000000,11000000,1678000000,360000000,94000000,-7787000000,429000000,182000000,8405000000,11000000,55000000,6005000000,27000000,,1855000000,3945000000,1182000000,304000000,,246000000,205000000
GWW,9/30/2019,723000000,1520000000,1918000000,1495000000,1024000000,,3396000000,1591000000,-174000000,13000000,1572000000,286000000,88000000,-7725000000,425000000,201000000,8380000000,9000000,55000000,5922000000,12000000,,1871000000,3850000000,1161000000,422000000,,219000000,201000000
GWW,6/30/2019,780000000,1535000000,2080000000,1503000000,1057000000,,3456000000,1580000000,-156000000,13000000,1452000000,315000000,90000000,-7510000000,429000000,196000000,8226000000,11000000,55000000,5992000000,23000000,,1923000000,3878000000,1152000000,437000000,,81000000,191000000
QDEL,3/31/2020,33153000,58708000,,110791000,126914000,,286479000,170405000,-263000,24424000,136196000,108770000,31597000,-263000,337017000,133800000,174921000,2258000,42000,966766000,60700000,,605199000,361567000,430499000,141268000,,12777000,
QDEL,12/31/2019,26701000,58086000,,104913000,74690000,,222227000,171881000,-463000,24502000,125891000,52775000,31629000,-463000,337018000,127554000,134684000,1885000,42000,910867000,54988000,,559820000,351047000,425557000,148112000,,12661000,
QDEL,9/30/2019,30397000,61742000,,86748000,42688000,,185414000,161258000,143000,22476000,127172000,28914000,29369000,143000,337016000,120757000,104058000,2732000,42000,867516000,53251000,,534163000,333353000,429920000,154459000,,12546000,
QDEL,6/30/2019,24837000,64622000,,57076000,11805000,,157512000,161277000,49000,22675000,112112000,28554000,29234000,49000,337021000,118911000,87877000,2410000,41000,846181000,52996000,,509963000,336218000,421996000,161137000,,12431000,
ISIG,3/31/2020,2846000,313000,,6444000,11000000,,14883000,639000,,,4020000,7755000,150000,,,652000,-5124000,,121000,15672000,350000,,11000000,4672000,16003000,,,,
ISIG,12/31/2019,3036000,322000,,7685000,11477000,,15892000,726000,,,4497000,7510000,55000,,,643000,-4261000,,121000,16990000,140000,,11794000,5196000,15934000,,,,
ISIG,9/30/2019,2221000,343000,,6567000,14209000,,15013000,3039000,,,3560000,7780000,524000,,,697000,-1802000,,121000,18576000,390000,,14209000,4367000,15890000,,,,
ISIG,6/30/2019,2801000,361000,,6378000,15112000,,16247000,3368000,,,4271000,4282000,676000,,,744000,-824000,,120000,20291000,436000,,15112000,5179000,15816000,,,,
ARLP,3/31/2020,63107000,124516000,673751000,137583000,1051408000,28114000,307492000,1975061000,-77055000,,247356000,29623000,81381000,-77055000,4373000,334527000,,1085000,1132836000,2396421000,21687000,,1055781000,1328917000,,,,71727000,11723000
ARLP,12/31/2019,80566000,101305000,707714000,161935000,1117090000,28529000,319585000,2026646000,-77993000,,195586000,36482000,75535000,-77993000,136399000,340950000,,1844000,1331482000,2586694000,21062000,,1253489000,1321270000,,,,13157000,11935000
ARLP,9/30/2019,91445000,114100000,637090000,182618000,1202868000,28721000,341364000,2044493000,-50692000,,309718000,31817000,76112000,-50692000,136399000,311978000,,1229000,1389959000,2627089000,22139000,,1339267000,1275798000,,,,69694000,12024000
ARLP,6/30/2019,108116000,84661000,467141000,178756000,1230990000,28672000,331498000,1932052000,-50573000,,325177000,55215000,74100000,-50573000,136399000,313569000,,1274000,1417962000,2502721000,18734000,,1367389000,1123242000,,,,78144000,12090000
EPRT,3/31/2020,,,905245000,32748000,1287145000,,259221000,1885824000,-74698000,,28863000,192616000,99156000,-74698000,,9306000,,33857000,919000,2305446000,21295000,3300000,1348390000,949666000,1422169000,61245000,,,7390000
EPRT,12/31/2019,,,730922000,28525000,1133951000,,63514000,1758349000,-29431000,,26735000,8304000,93085000,-29431000,,9564000,,25590000,838000,1975447000,19395000,3500000,1194450000,773334000,1223043000,60499000,,,7663000
EPRT,9/30/2019,,,665823000,24027000,1035890000,,64806000,1618330000,-27734000,,25089000,23446000,64870000,-27734000,,9635000,,17333000,796000,1805478000,17652000,3800000,1093362000,704449000,1120300000,57472000,,,7667000
EPRT,6/30/2019,,,576523000,21045000,727487000,,51887000,1499985000,-21360000,,22670000,7816000,33324000,-21360000,,9778000,,23026000,578000,1643303000,16917000,4100000,785594000,612787000,806376000,58107000,,,244922000
REXN,3/31/2020,891419,,,,9445402,,11288852,238385,,,1981617,10998096,25681,,,100109,-163909446,,402,11552918,600000,,9445402,2107516,173354446,,,,
REXN,12/31/2019,488285,,,,9957954,,12663973,279118,,,2905496,9219547,25681,,,41717,-163322676,,402,12968772,1500000,,9957954,3010818,173278144,,,,
REXN,9/30/2019,363331,,,,11755240,,14635857,319238,,,3001267,7932100,25681,,,123872,-161453752,,402,14980776,1500000,,11755240,3225536,173200742,,,,
REXN,6/30/2019,945829,,,,13623106,,17293210,358343,,,3551200,7310049,25681,,,366732,-159494522,,402,17677234,1500000,,13623106,4054128,173110047,,,,
ALLY,3/31/2020,1.22324E+11,,31066000000,2576000000,13519000000,31619000000,8972000000,9064000000,706000000,,1.34637E+11,6161000000,1.32872E+11,706000000,,3305000000,-5465000000,235000000,18278000000,1.82527E+11,,,13519000000,1.69008E+11,,,,,
ALLY,12/31/2019,1.21287E+11,,24808000000,1.10614E+11,13954000000,30911000000,1.15767E+11,9678000000,123000000,,1.37077E+11,3555000000,23826000000,-2965000000,,4197000000,-4057000000,1534000000,21438000000,1.80644E+11,,,14416000000,1.66228E+11,,,,,
ALLY,9/30/2019,1.20461E+11,,25810000000,1.13599E+11,14210000000,30277000000,1.1907E+11,9453000000,190000000,,1.36929E+11,3617000000,22445000000,-2599000000,,4101000000,-4368000000,1760000000,21417000000,1.81485E+11,,,14450000000,1.67035E+11,,,,,
ALLY,6/30/2019,1.16905E+11,,28139000000,1.13664E+11,14076000000,27146000000,1.18277E+11,9184000000,84000000,,1.33734E+11,3563000000,25601000000,-2405000000,,4059000000,-4682000000,991000000,21403000000,1.80448E+11,,,14316000000,1.66132E+11,,,,,
ETH,3/31/2020,30938000,138774000,,10482000,294096000,,287328000,367126000,-9218000,2044000,146863000,116868000,3522000,-690134000,25388000,4353000,650701000,,491000,703104000,61251000,,339224000,363858000,378166000,19740000,,,22000
ETH,12/31/2019,27136000,138997000,,13139000,317660000,,199440000,373796000,-5377000,2082000,137442000,28306000,3563000,-672003000,25388000,3525000,656211000,,491000,621927000,57716000,,362788000,259102000,378089000,19740000,,,37000
ETH,9/30/2019,28849000,151421000,,12345000,325319000,,232831000,372411000,-6150000,2060000,159899000,45876000,3529000,-662747000,25388000,3915000,654621000,,491000,653899000,77298000,,370447000,283396000,378082000,19740000,,,56000
ETH,6/30/2019,35485000,162389000,,14247000,318738000,,216290000,245246000,-5651000,2108000,122826000,20824000,3687000,-662248000,25388000,23080000,647710000,,491000,510351000,65464000,,363866000,146422000,377913000,19740000,,,63000
EXTN,3/31/2020,84970000,137881000,455341000,237852000,297204000,,423255000,842407000,24290000,10102000,302239000,18138000,13512000,-33112000,,192875000,-335542000,29384000,377000,1361598000,114961000,,379628000,981970000,747905000,82424000,,124000,
EXTN,12/31/2019,123444000,143538000,443587000,248874000,403895000,,435923000,871193000,35346000,13994000,326645000,16683000,105245000,-21221000,,207276000,-317238000,26828000,375000,1418004000,132734000,,409538000,1008466000,747622000,5643000,,237000,
EXTN,9/30/2019,90975000,170399000,495347000,268427000,403428000,,490734000,960896000,34052000,10314000,324977000,21979000,15435000,-19104000,,213057000,-237401000,29929000,375000,1552736000,119631000,,489099000,1063637000,745229000,85671000,,336000,
EXTN,6/30/2019,156463000,176814000,459093000,309885000,431545000,,543465000,976364000,37683000,11310000,402285000,17172000,19739000,4812000,,217088000,-227560000,39594000,375000,1628005000,130291000,,519982000,1108023000,742355000,88437000,,449000,
IHC,3/31/2020,65457000,,,32621000,381974000,431706000,513479000,,1101000,,93023000,23048000,56732000,-70095000,64827000,524624000,388102000,365404000,18625000,1079835000,27403000,,459892000,617647000,123260000,13091000,92406000,,2296000
IHC,12/31/2019,85440000,,,26244000,386150000,403929000,521051000,,1212000,,95820000,21094000,41525000,-68512000,60165000,491672000,386864000,366506000,18625000,1054303000,7282000,,459694000,592354000,122717000,13379000,107207000,,2255000
IHC,9/30/2019,51082000,,,24523000,399997000,459755000,467985000,,3587000,,63674000,17824000,54755000,-66117000,60205000,518350000,399160000,368710000,18625000,1063638000,9899000,,473889000,587405000,122221000,13687000,56928000,,2344000
IHC,6/30/2019,50587000,,,25014000,393899000,480297000,449445000,,2298000,,65476000,14982000,60192000,-65130000,60205000,527619000,393018000,370535000,18625000,1070925000,14636000,,468099000,600512000,121586000,13995000,38914000,,2314000
ATEC,3/31/2020,11800000,37872000,52941000,15375000,-11632000,,91712000,22520000,-3843000,,38243000,27466000,545000,-3940000,13897000,10971000,-579727000,353000,6000,153839000,4919000,,27430000,102806000,611091000,25165000,,916000,
ATEC,12/31/2019,7772000,34854000,53347000,16150000,4129000,,108318000,21582000,-3912000,,36390000,47113000,546000,-4009000,13897000,11951000,-558924000,321000,6000,169948000,4910000,,43631000,102714000,606558000,25605000,,489000,
ATEC,9/30/2019,6010000,33065000,50990000,15430000,17875000,,117404000,20835000,-3880000,,31585000,57843000,265000,-3977000,13897000,13082000,-541893000,417000,6000,178283000,4940000,,57654000,97026000,603518000,25882000,,836000,
ATEC,6/30/2019,8178000,32605000,49255000,13642000,-25790000,,75946000,17260000,-3843000,,31006000,18570000,275000,-3940000,13897000,13826000,-527326000,225000,4000,133432000,5081000,,14161000,95668000,545423000,26054000,,286000,
LXRX,3/31/2020,18236000,4147000,234488000,30135000,-9041000,,291614000,15135000,860000,,80319000,55592000,,-3880000,44543000,,-1408055000,,108000,370567000,,,54777000,315790000,1466604000,19275000,193545000,10734000,
LXRX,12/31/2019,12178000,4243000,234171000,56532000,52842000,,337754000,15702000,84000,,65341000,36112000,,-3733000,44543000,,-1341444000,,106000,417715000,,,117101000,300614000,1462172000,19716000,235547000,11012000,
LXRX,9/30/2019,20907000,4476000,233837000,56841000,100012000,,363594000,16294000,36000,,44824000,170203000,,-3781000,44543000,,-1290306000,,106000,444588000,,,164712000,279876000,1458693000,20157000,126101000,11289000,
LXRX,6/30/2019,10028000,4277000,243953000,5580000,-158665000,,122459000,16905000,86000,,22469000,11106000,,-3731000,44543000,,-1516392000,,106000,233143000,,,-64886000,298029000,1455131000,49236000,94871000,1115000,
NRP,3/31/2020,1272000,,454110000,34362000,319439000,261224000,135785000,630716000,63199000,,68440000,100506000,38090000,63199000,,55365000,,,273847000,1083422000,6021000,,337046000,581419000,,17607000,,45767000,370000
NRP,12/31/2019,1179000,,470422000,30959000,318006000,263080000,132084000,632604000,64222000,,62708000,98265000,40452000,64222000,,48656000,,,271471000,1085907000,7073000,,335693000,585292000,,17687000,,46631000,335000
NRP,9/30/2019,1591000,,490378000,30299000,422819000,258063000,143709000,761424000,63014000,,74255000,99636000,40247000,63014000,,44921000,,,400266000,1243904000,5221000,,463280000,613063000,,40461000,,45789000,2974000
NRP,6/30/2019,1211000,,498029000,33998000,396801000,251135000,121275000,764746000,63534000,,68545000,70850000,41279000,63534000,,44510000,,,374275000,1219443000,7237000,,437809000,614595000,,41008000,,46040000,2452000
SWKH,3/31/2020,3368000,,129000,179992000,201826000,1197000,207606000,,,24527000,18356000,24318000,24846000,,,,-4200287000,,13000,265119000,,,231997000,33122000,4432271000,,,,
SWKH,12/31/2019,2961000,,76000,175379000,203015000,2268000,191179000,,,25780000,3061000,11158000,26116000,,,,-4195627000,,13000,254372000,,,236532000,17840000,4432146000,,,,
SWKH,9/30/2019,3206000,,127000,177500000,190329000,2429000,184926000,,,20098000,3506000,4486000,21622000,,,,-4204412000,,13000,247535000,,,227628000,19907000,4432027000,,,,
SWKH,6/30/2019,1305000,,28000,171335000,223335000,498000,202701000,,,20899000,1305000,27373000,21469000,,,,-4208569000,,13000,224668000,,,223335000,1333000,4431891000,,,,
ANCN,3/31/2020,602000,,,,11560000,,14677000,460000,872000,,3471000,14009000,46000,872000,,,-108966000,,,15183000,,,11560000,3623000,119654000,,,,
ANCN,12/31/2019,875000,,,,14909000,,18211000,1357000,872000,,4121000,17575000,187000,872000,,,-105431000,,,19755000,,,14909000,4846000,119468000,,,,
ANCN,9/30/2019,924000,,,,5940000,,24478000,1936000,5483000,,15313000,23242000,1097000,5483000,,,-112322000,,,30857000,,,9286000,21571000,116125000,,,,
ANCN,6/30/2019,383000,,,,24883000,,27895000,1993000,5162000,,3239000,27010000,1168000,5162000,,,-96404000,,,31056000,,,24883000,6173000,116125000,,,,
SITC,3/31/2020,141145000,,2246711000,56436000,1585372000,369088000,585418000,3417592000,-4069923000,,185192000,514258000,18958000,-4083523000,,,,14724000,19399000,4445081000,44047000,7629000,1639397000,2477603000,5703521000,54025000,,,3081000
SITC,12/31/2019,133125000,,1847297000,68135000,1595393000,484600000,97459000,3434456000,-4058661000,,177161000,16080000,19086000,-4066368000,,,,13244000,19382000,4093622000,44036000,8127000,1653414000,2112144000,5700400000,58021000,,,3064000
SITC,9/30/2019,173912000,,1833283000,96993000,1423440000,520879000,133717000,3365448000,-4030060000,,218555000,23727000,23831000,-4086580000,,,,12997000,18472000,4099861000,44643000,8625000,1479426000,2092356000,5547534000,55986000,,,3079000
SITC,6/30/2019,171284000,,1858875000,117364000,1437005000,530881000,139362000,3388644000,-4009083000,,215925000,9421000,21723000,-4065742000,,,,12577000,18472000,4142742000,44641000,4700000,1499137000,2115491000,5546407000,62132000,,,3114000
CFB,3/31/2020,3972822000,3619000,318611000,,604277000,735231000,207605000,68817000,22602000,8914000,4128272000,128987000,4048085000,22602000,,8578000,68689000,46958000,521000,5067407000,,,611946000,4455461000,520134000,7669000,,85000000,
CFB,12/31/2019,3923759000,3619000,314664000,,593950000,741634000,216493000,70210000,16366000,13782000,3998171000,169320000,3895202000,16366000,,16754000,64888000,33716000,520000,4931233000,,,601644000,4329589000,519870000,297000,,45000000,
CFB,9/30/2019,3658108000,2471000,284716000,,594715000,733093000,160241000,71314000,17817000,7429000,3750343000,109926000,3678945000,17817000,,13819000,65282000,34109000,520000,4651313000,,,602435000,4048878000,518816000,7720000,,24000000,
CFB,6/30/2019,3584136000,2471000,284767000,,491450000,704776000,168188000,72185000,13496000,8863000,3677537000,131373000,3520288000,13496000,,11683000,54899000,26703000,453000,4473182000,,,499195000,3973987000,430347000,348000,,54000000,
GPI,3/31/2020,410700000,1992600000,1092000000,158100000,-76900000,,2399300000,1767700000,-206100000,,2640400000,19200000,22600000,-680200000,999800000,237800000,1566700000,,300000,5441100000,,,1174600000,4266500000,287800000,251700000,,359100000,
GPI,12/31/2019,527500000,1901700000,1360200000,196800000,-6100000,,2516300000,1767200000,-147000000,,2422300000,23800000,23000000,-582300000,1008300000,245000000,1542400000,,300000,5570200000,,,1255700000,4314500000,295300000,253500000,,55300000,
GPI,9/30/2019,483300000,1792700000,1262200000,197300000,-45600000,,2386500000,1689500000,-169500000,,2397300000,41000000,20800000,-605700000,979000000,228000000,1499800000,,300000,5329000000,,,1186300000,4142700000,291900000,252900000,,60100000,
GPI,6/30/2019,485908000,1793671000,1254876000,208789000,-58977000,,2362134000,1625705000,-152530000,,2335340000,37740000,13874000,-591350000,963502000,229921000,1466963000,,255000,5225761000,,,1164065000,4061696000,288197000,259540000,,66071000,
IBM,3/31/2020,4172000000,1786000000,52439000000,9031000000,-52184000000,1819000000,38931000000,14496000000,-29282000000,8782000000,40673000000,11218000000,18266000000,-1.98719E+11,57517000000,36118000000,1.62626E+11,2529000000,56092000000,1.53403E+11,15979000000,2459000000,19999000000,1.33275E+11,,14666000000,647000000,8189000000,129000000
IBM,12/31/2019,4896000000,1619000000,53950000000,10095000000,-52616000000,222000000,38420000000,15006000000,-28595000000,5182000000,37701000000,8172000000,16369000000,-1.98008E+11,58222000000,35519000000,1.62954E+11,2186000000,55895000000,1.52186E+11,15259000000,2472000000,20841000000,1.31201E+11,,15235000000,696000000,7470000000,144000000
IBM,9/30/2019,4042000000,1712000000,57678000000,9142000000,-55608000000,2186000000,38122000000,14963000000,-29087000000,4994000000,35066000000,10087000000,13046000000,-1.98561E+11,57951000000,34870000000,1.60709E+11,2502000000,55808000000,1.4962E+11,13581000000,2535000000,17956000000,1.31525E+11,,15613000000,733000000,5147000000,139000000
IBM,6/30/2019,4724000000,1745000000,58381000000,9789000000,-20367000000,2120000000,77517000000,15200000000,-28841000000,5274000000,42351000000,45399000000,13362000000,-1.98226E+11,35284000000,32133000000,1.60467E+11,2551000000,55404000000,1.54652E+11,13912000000,2662000000,17645000000,1.36876E+11,,2728000000,874000000,6530000000,131000000
DESP,3/31/2020,137044000,,,125163000,68362000,,403333000,58424000,-20599000,22016000,251006000,221657000,22016000,-88866000,41551000,132456000,-342809000,56513000,262011000,575393000,90262000,,159982000,415411000,329646000,50069000,,,
DESP,12/31/2019,266627000,,,270173000,97661000,,616444000,62843000,-118000,25351000,440808000,309187000,25351000,-68385000,46956000,131700000,-326510000,4457000,261608000,801213000,123278000,,194236000,606977000,327523000,49619000,,,
DESP,9/30/2019,237700000,,,210321000,93804000,,580728000,29382000,-659000,15976000,402292000,295671000,15976000,-68926000,50535000,125327000,-323865000,74736000,259816000,725953000,143217000,,193671000,532282000,326646000,49332000,,,
DESP,6/30/2019,235898000,,,247101000,142421000,,629399000,29691000,3650000,17241000,402284000,317522000,17241000,-25318000,49319000,127258000,-320182000,64776000,259741000,771482000,144092000,,237572000,533910000,323331000,45832000,,,
TLYS,5/2/2020,24837000,67650000,,13421000,142994000,,194277000,314495000,201000,,143515000,65133000,7422000,201000,,558000,-11115000,,30000,516194000,10719000,,142994000,373200000,153878000,,45981000,,
TLYS,2/1/2020,20562000,56901000,,7485000,159901000,,208864000,329825000,214000,,145266000,70137000,7951000,214000,,718000,6280000,,30000,546640000,50023000,,159901000,386739000,153377000,,69780000,,
TLYS,11/2/2019,37461000,70337000,,9060000,181543000,,215968000,326344000,118000,,127463000,67596000,2521000,118000,,942000,29684000,,30000,544833000,8521000,,181543000,363290000,151711000,,62476000,,
TLYS,8/3/2019,39475000,72635000,,11758000,174440000,,214039000,324058000,237000,,130793000,62388000,2194000,237000,,1182000,23296000,,30000,540291000,8330000,,174440000,365851000,150877000,,62413000,,
MSB,4/30/2020,,,,30983,6095432,3,14393509,,,,7506918,14283675,,,,,6095429,,3,14393512,7347206,,6095432,8298080,,,,,
MSB,1/31/2020,,,,69588,11831017,3,23647371,,,,9304637,10177655,,,,,11831014,,3,23647374,9184007,,11831017,11816357,,,,,
MSB,10/31/2019,,,,2408279,15931444,3,28461127,,,,11591557,375053,,,,,15931441,,3,28461130,11414408,,15931444,12529686,,,,,
MSB,7/31/2019,,,,7043709,21195656,3,24151794,,,,2956141,452628,,,,,21195653,,3,24151797,2755202,,21195656,2956141,,,,,
AINV,3/31/2020,,,1794617000,25163000,1024315000,2785433000,69571000,,,,45339000,43676000,16054000,,,6787000,-1075626000,,65000,2871058000,29367000,16054000,1024315000,1846743000,2099876000,,,,
AINV,12/31/2019,,,1785637000,29324000,1215882000,2967197000,76030000,,,,51874000,42226000,16797000,,,6631000,-902836000,,66000,3060024000,29946000,16797000,1215882000,1844142000,2118652000,,,,
AINV,9/30/2019,,,1584128000,33342000,1253392000,2804760000,70509000,,,,48292000,36438000,17693000,,,7150000,-873177000,,67000,2892962000,30171000,17693000,1253392000,1639570000,2126502000,,,,
AINV,6/30/2019,,,1349598000,30444000,1290710000,2620312000,61282000,,,,52862000,30570000,18836000,,,7260000,-850073000,,68000,2700430000,30624000,18836000,1290710000,1409720000,2140715000,,,,
DLPH,3/31/2020,672000000,450000000,1922000000,898000000,179000000,65000000,1998000000,1579000000,-403000000,260000000,1196000000,611000000,368000000,-403000000,6000000,481000000,224000000,15000000,1000000,4064000000,273000000,3000000,233000000,3698000000,411000000,48000000,,49000000,133000000
DLPH,12/31/2019,717000000,447000000,1443000000,972000000,255000000,69000000,1648000000,1616000000,-376000000,269000000,1223000000,191000000,354000000,-376000000,7000000,521000000,281000000,17000000,1000000,3747000000,270000000,2000000,315000000,3292000000,409000000,53000000,,38000000,140000000
DLPH,9/30/2019,728000000,518000000,1453000000,994000000,296000000,67000000,1657000000,1592000000,-369000000,252000000,1231000000,104000000,379000000,-369000000,6000000,477000000,321000000,20000000,1000000,3758000000,233000000,3000000,359000000,3266000000,406000000,57000000,,41000000,133000000
DLPH,6/30/2019,832000000,553000000,1474000000,1029000000,289000000,67000000,1778000000,1626000000,-367000000,273000000,1314000000,162000000,364000000,-367000000,7000000,503000000,317000000,15000000,1000000,3903000000,214000000,3000000,357000000,3403000000,406000000,61000000,,37000000,143000000
MATX,3/31/2020,275700000,,871500000,218800000,272200000,74300000,308700000,1843400000,-37500000,,470900000,19900000,81500000,-37500000,327800000,496100000,500700000,,32300000,2835900000,,52200000,800200000,2035700000,304700000,200200000,,53400000,
MATX,12/31/2019,235700000,,910000000,218700000,275000000,76200000,289600000,1854200000,-36900000,,436700000,21200000,94700000,-36900000,327800000,495000000,504200000,,32200000,2845400000,,60200000,805700000,2039700000,306200000,202900000,,48400000,
MATX,9/30/2019,235000000,,834600000,223900000,264200000,83700000,299500000,1731500000,-35700000,,437700000,23600000,105600000,-35700000,327800000,493800000,498000000,,32200000,2753800000,,56000000,797700000,1956100000,303200000,205700000,,48400000,
MATX,6/30/2019,221100000,,791000000,213000000,229000000,86700000,289600000,1637200000,-35200000,,425400000,24000000,107800000,-35200000,327800000,486900000,467600000,,32100000,2657500000,,57900000,765200000,1892300000,300700000,208400000,,53600000,
ATRC,3/31/2020,17302000,32063000,58323000,22131000,-136807000,,127024000,36063000,-371000,,39071000,21766000,474000,-371000,234781000,188871000,-298605000,,40000,527734000,5111000,,227366000,300368000,526302000,129392000,46771000,,
ATRC,12/31/2019,14948000,29414000,59634000,28046000,-117319000,,143160000,36678000,-158000,,49916000,28483000,705000,-158000,234781000,186417000,-282197000,,40000,557880000,5637000,,247343000,310537000,529658000,129881000,53318000,,
ATRC,9/30/2019,13966000,27789000,59517000,26798000,-108465000,,137853000,35101000,-376000,,44282000,33182000,762000,-376000,236316000,183998000,-266101000,,40000,560756000,4827000,,258221000,302535000,524658000,130370000,46557000,,
ATRC,6/30/2019,12592000,24432000,33886000,27955000,88005000,,146525000,29719000,-154000,,39432000,25247000,473000,-154000,105257000,15270000,-256739000,,39000,343120000,2245000,,241548000,101572000,498402000,48286000,65594000,,
SHAK,3/25/2020,15330000,2045000,,6820000,300418000,,115410000,631255000,,281285000,102828000,87806000,293343000,,,238611000,53407000,,38000,1040008000,8045000,,300418000,717402000,246970000,,16423000,,22188000
SHAK,12/25/2019,14300000,2221000,,9970000,297380000,,87675000,589288000,,279817000,99392000,37099000,289868000,,,238334000,54367000,,38000,968268000,13540000,,298817000,646283000,244410000,,36508000,,23168000
SHAK,9/25/2019,15865000,1782000,,15186000,290616000,,99440000,584325000,,268855000,95971000,44505000,279507000,,,229535000,56460000,,38000,963272000,10345000,,290616000,644977000,234118000,,36336000,,27679000
SHAK,6/26/2019,3828000,1692000,,13781000,255020000,,86865000,543861000,,258132000,79012000,29733000,267518000,,,222737000,46116000,,38000,898244000,10742000,,255020000,597571000,208866000,,36081000,,45653000
SCHN,2/29/2020,92476000,183566000,133665000,164443000,507878000,15670000,386339000,575595000,-39040000,27743000,182758000,10326000,46870000,-39040000,169118000,83340000,661418000,7004000,27099000,1197247000,5290000,,680651000,512299000,31174000,3655000,,60000,4297000
SCHN,11/30/2019,72172000,177934000,119716000,120789000,507750000,16434000,339880000,581172000,-38525000,28297000,157431000,9624000,48003000,-38525000,169292000,81449000,662707000,9533000,27143000,1158592000,5576000,,680853000,473556000,29528000,3811000,,74000,4183000
SCHN,8/31/2019,110297000,187320000,97228000,151484000,523245000,16276000,466288000,456400000,-38763000,28850000,268230000,12377000,48063000,-38763000,169237000,87445000,675363000,92107000,26664000,1160746000,6030000,,696964000,459450000,33700000,4482000,,94000,4332000
SCHN,5/31/2019,100386000,202192000,140895000,171967000,516055000,16632000,417349000,437456000,-39423000,28528000,176938000,8119000,48212000,-39423000,168946000,81085000,668933000,20071000,26776000,1092622000,5769000,,689028000,398918000,32742000,4027000,,1234000,4676000
AMH,3/31/2020,1274000,,2934660000,65282000,5213714000,91199000,540090000,8228393000,6452000,,241950000,33108000,215224000,6452000,120279000,,-461706000,441700000,3009000,9201365000,121124000,,5340173000,3176610000,5792418000,6180000,,,684228000
AMH,12/31/2019,5037000,,2833497000,66452000,5207953000,93601000,509157000,8117662000,6658000,,247822000,37575000,252570000,6658000,120279000,,-465368000,405130000,3007000,9100109000,142890000,,5335072000,3081319000,5790775000,6840000,,,683364000
AMH,9/30/2019,410000,,2837115000,73008000,5196869000,88835000,566843000,8066159000,6862000,,295544000,171209000,290228000,6862000,120279000,,-473893000,322626000,3006000,9140121000,123761000,,5324925000,3132932000,5788950000,7777000,,,681910000
AMH,6/30/2019,1750000,,2841057000,67626000,5182845000,84183000,540020000,8068974000,7062000,,301219000,119176000,320181000,7062000,120279000,,-482354000,353218000,3004000,9142623000,152119000,,5312110000,3147100000,5784398000,8986000,,,683059000
CHUY,3/29/2020,6196000,1519000,,2571000,135427000,,36222000,359295000,,,32267000,28023000,7928000,,24069000,,87654000,,166000,449414000,1793000,,181396000,268018000,93576000,21900000,,,
