stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
VBFC,12/31/2019,443208000,526000,30359000,,42914000,46937000,36326000,13051000,142000,,462162000,19967000,443999000,142000,,4267000,-17292000,15833000,5779000,540313000,,,42914000,497399000,54285000,,,,
VBFC,9/30/2019,477439000,526000,35351000,,41516000,46031000,64653000,13210000,65000,,477767000,46458000,436035000,65000,,4277000,-18596000,17669000,5779000,559929000,,,41516000,518413000,54268000,,,,
VBFC,6/30/2019,446226000,526000,45343000,,39679000,43415000,45596000,13428000,-23000,,446457000,28752000,434095000,-23000,,3837000,-20323000,16318000,5779000,536534000,,,39679000,496855000,54246000,,,,
OFG,3/31/2020,7808443000,30388000,73717000,70359000,790351000,668734000,1529058000,118678000,6290000,196129000,8107488000,1324891000,6732571000,-96999000,86069000,5100000,346502000,58809000,59885000,9238571000,11763000,,930594000,8215977000,621206000,103461000,,,
OFG,12/31/2019,7686838000,33236000,83332000,78871000,810444000,1087777000,1095775000,120217000,-1008000,176740000,8137166000,851307000,6800079000,-103347000,86069000,2668000,375425000,79760000,59885000,9297661000,21599000,,953478000,8252183000,621515000,107744000,,,
OFG,9/30/2019,4876241000,30489000,273580000,35417000,868516000,529677000,1130742000,89072000,-2458000,112602000,4990886000,961837000,4485329000,-105394000,86069000,478000,381637000,88862000,59885000,6333505000,21796000,,957076000,5284429000,620948000,12616000,,,
OFG,6/30/2019,4942558000,32016000,274057000,37720000,864021000,870257000,831412000,91420000,-3686000,111147000,5122109000,676381000,4572051000,-106857000,86069000,908000,379478000,73244000,59885000,6464127000,23610000,,952874000,5419253000,620368000,12918000,,,
BMRN,3/31/2020,454506000,705652000,486713000,396384000,2600046000,290796000,2116249000,1009972000,24295000,539990000,820470000,476632000,665908000,24295000,196199000,175696000,-1639328000,155817000,181000,4722841000,21102000,,3239962000,1482879000,4854814000,443717000,381764000,,
BMRN,12/31/2019,240981000,680275000,486238000,377404000,2468762000,411978000,1942143000,1070302000,10203000,549422000,932503000,437446000,611997000,10203000,197039000,98117000,-1720709000,130657000,180000,4690039000,30118000,,3122381000,1567658000,4832707000,456580000,316361000,,
BMRN,9/30/2019,226769000,609049000,843616000,402970000,2414517000,431804000,1859359000,1030930000,27042000,525131000,493745000,423220000,576147000,27042000,197039000,91319000,-1735733000,126548000,180000,4558128000,33308000,,3074405000,1483723000,4782916000,462849000,297572000,,
BMRN,6/30/2019,223947000,578736000,839165000,377150000,2287283000,374965000,1806768000,1022765000,7228000,475554000,439428000,307577000,515215000,7228000,197039000,99958000,-1790769000,119779000,179000,4393384000,22767000,,2960954000,1432430000,4744316000,476632000,423526000,,
QNST,3/31/2020,40065000,,,73367000,137843000,,179260000,15861000,-249000,48944000,90896000,97139000,54027000,-249000,81179000,10651000,-50023000,1000000,52000,360512000,8908000,4500000,249207000,111305000,299427000,30185000,,,
QNST,12/31/2019,34298000,,,69612000,120083000,,150970000,16833000,-319000,52495000,82712000,76124000,57813000,-319000,82544000,12052000,-63942000,1000000,52000,339404000,10135000,4700000,233871000,105533000,298080000,31244000,,,
QNST,9/30/2019,40020000,,,74615000,112369000,,151300000,17514000,-335000,52048000,87573000,70517000,57722000,-335000,82544000,14744000,-65491000,1000000,51000,342258000,9854000,5000000,228091000,114167000,293866000,33178000,,,
QNST,6/30/2019,37093000,,,76671000,105167000,,143378000,5410000,-366000,52149000,83699000,62522000,58161000,-366000,82544000,18083000,-66623000,1681000,50000,324611000,9728000,5300000,222829000,101782000,289768000,35118000,,,
CRWS,3/29/2020,2972000,17732000,,17803000,29734000,,37041000,6896000,,439000,6479000,282000,534000,-12408000,7125000,721000,1108000,,126000,57173000,992000,,42436000,14737000,53610000,5577000,,,
CRWS,12/29/2019,7864000,23640000,,15545000,28647000,,41564000,7231000,,344000,14019000,41000,439000,-12408000,7125000,1017000,313000,,126000,62150000,3500000,,41563000,20587000,53532000,5791000,,,
CRWS,9/29/2019,6416000,21941000,,14214000,29617000,,37349000,3126000,,351000,9679000,200000,446000,-12343000,7125000,970000,1573000,,126000,54051000,966000,,42747000,11304000,53391000,6005000,,,
CRWS,6/30/2019,6688000,20449000,,12471000,28362000,,37523000,3422000,,612000,11622000,3467000,707000,-12343000,7125000,921000,607000,,125000,54995000,1017000,,41705000,13290000,53316000,6218000,,,
BJRI,3/31/2020,28547000,10517000,231800000,13503000,267231000,,112580000,961340000,,,138765000,80309000,34438000,,4673000,23624000,208778000,,,1113031000,21912000,,271904000,841127000,63126000,,,,
BJRI,12/31/2019,23422000,11102000,143000000,22197000,285614000,,64605000,966994000,,,158431000,22394000,35812000,,4673000,32033000,223225000,,,1072084000,33163000,,290287000,781797000,67062000,,,,
BJRI,10/1/2019,29167000,10472000,158000000,15896000,281892000,,55295000,963373000,,,144869000,24373000,34861000,,4673000,29911000,221319000,,,1058202000,20593000,,286565000,771637000,65246000,,,,
BJRI,7/2/2019,33114000,10589000,100000000,17714000,319563000,,57626000,958957000,,,156239000,23376000,34264000,,4673000,31928000,260806000,,,1055520000,22228000,,324236000,731284000,63430000,,,,
